region,month,season,profit_seasonal,charge_seasonal,discharge_seasonal,quarter,profit_quarterly,charge_quarterly,discharge_quarterly,profit_dif
SA,9,4,6655.295463,1/01/2018 3:00,1/01/2018 18:30,3,6558.181004,1/01/2018 3:30,1/01/2018 18:00,97.11445875
VIC,7,3,5531.873215,1/01/2018 3:30,1/01/2018 17:30,3,5350.472518,1/01/2018 3:00,1/01/2018 18:00,181.4006979
SA,11,4,4681.266032,1/01/2018 3:00,1/01/2018 18:30,4,4499.367695,1/01/2018 2:30,1/01/2018 18:00,181.8983367
TAS,11,4,3959.263018,1/01/2018 3:00,1/01/2018 8:00,4,3762.93847,1/01/2018 14:30,1/01/2018 19:00,196.3245488
NSW,7,3,5373.803918,1/01/2018 3:30,1/01/2018 17:30,3,5177.252036,1/01/2018 3:30,1/01/2018 18:00,196.5518825
NSW,3,2,5686.215028,1/01/2018 3:00,1/01/2018 17:00,1,5402.929141,1/01/2018 1:00,1/01/2018 15:30,283.2858875
TAS,4,2,6487.93329,1/01/2018 21:30,1/01/2018 7:00,2,6191.676091,1/01/2018 4:00,1/01/2018 19:00,296.2571988
TAS,8,3,4795.13635,1/01/2018 2:30,1/01/2018 17:00,3,4496.46058,1/01/2018 3:00,1/01/2018 6:30,298.6757696
QLD,3,2,5443.233969,1/01/2018 3:00,1/01/2018 17:30,1,5068.557638,1/01/2018 1:00,1/01/2018 16:00,374.6763308
QLD,7,3,5033.963401,1/01/2018 3:00,1/01/2018 17:30,3,4548.169678,1/01/2018 12:00,1/01/2018 18:00,485.7937225
TAS,6,3,5644.121776,1/01/2018 2:30,1/01/2018 17:00,2,5094.053188,1/01/2018 4:00,1/01/2018 19:00,550.0685875
TAS,12,1,3495.629288,1/01/2018 2:00,1/01/2018 6:30,4,2897.937581,1/01/2018 14:30,1/01/2018 19:00,597.6917071
TAS,5,2,5996.887115,1/01/2018 21:30,1/01/2018 7:00,2,5397.279848,1/01/2018 4:00,1/01/2018 19:00,599.6072671
VIC,12,1,4192.739417,1/01/2018 2:30,1/01/2018 16:00,4,3423.413902,1/01/2018 2:30,1/01/2018 18:00,769.325515
QLD,8,3,5488.900034,1/01/2018 3:00,1/01/2018 17:30,3,4375.160716,1/01/2018 12:00,1/01/2018 18:00,1113.739318
QLD,9,4,5824.548623,1/01/2018 1:30,1/01/2018 18:00,3,3841.965236,1/01/2018 12:00,1/01/2018 18:00,1982.583387
