"","duid","mean_lmp","lat","lon"
"96","MCKAY1",-1.27624986897974,-36.805461,147.228034
"97","MEADOWBK",-1468.72420004243,-42.611199,146.845676
"98","MERCER01",1.18520430127734,-37.841111,143.871111
"99","MINTARO",94.6943204690652,-33.9031,138.7383
"100","MORTLK11",-5607.2624975538,-38.06316932,142.6674789
"101","MORTLK12",-5607.2624975538,-38.06316932,142.6674789
"102","MP1",-8685.14503209366,-33.358892,150.031322
"103","MP2",-8685.14503209366,-33.358892,150.031322
"104","MPP_1",40.0942751302773,-27.961542,151.278949
"105","MPP_2",40.0429917553636,-27.961542,151.278949
"106","MSTUART1",1622.30238012413,-19.337998,146.851171
"107","MSTUART2",1622.30238012413,-19.337998,146.851171
"108","MSTUART3",1622.30238012413,-19.337998,146.851171
"109","MURRAY",-50.7508327311132,-36.246713,148.190095
"110","MUSSELR1",-4609.16898001403,-40.779758,148.0097592
"111","NBHWF1",-2547.15307679096,-33.252576,138.712289
"112","NPS",25.6194567696924,-37.841462,144.894197
"113","OAKEY1",65.6790153109576,-27.418362,151.679767
"114","OAKEY2",65.6790153109576,-27.418362,151.679767
"115","OAKLAND1",436.38158288464,-37.663801,142.548056
"116","OSB-AG",-2794.80534149163,-34.798021,138.507884
"117","POAT110",-1084.93853744669,-41.811573,146.919038
"118","POAT220",-1670.73041268379,-41.811573,146.919038
"119","POR01",-101.25845015641,-34.70019,135.804728
"120","POR03",-54983.6795500512,-34.70019,135.804728
"121","PPCCGT",-13769.2267084201,-34.764972,138.505325
"122","PUMP1",1059.42582,-27.372221,152.632028
"123","PUMP2",1059.42582,-27.372221,152.632028
"124","QPS1",1620.11345312595,-34.779284,138.522352
"125","QPS2",1620.11345312595,-34.779284,138.522352
"126","QPS3",1620.11345312595,-34.779284,138.522352
"127","QPS4",1620.11345312595,-34.779284,138.522352
"128","QPS5",-56.0209653170732,-34.779284,138.522352
"129","REECE1",-4717.57058711185,-41.72377,145.135948
"130","REECE2",-1862.79085497917,-41.72377,145.135948
"131","ROMA_7",-413.760199980573,-26.577201,148.840199
"132","ROMA_8",-413.760199980573,-26.577201,148.840199
"133","SHGEN",48.4054991775457,-34.73369,150.46687
"134","SHPUMP",1485.99216882271,-34.73369,150.46687
"135","SNOWNTH1",-1630.56799115648,-33.83008204,138.1184114
"136","SNOWSTH1",-1082.24087566982,-33.713867,138.140367
"137","SNOWTWN1",-2441.48146708438,-33.713867,138.140367
"138","SNUG1",-1164.18593707111,-37.664551,140.415558
"139","STAN-1",-58.3191441463892,-23.50972,150.319466
"140","STAN-2",-58.3191441463892,-23.50972,150.319466
"141","STAN-3",-934.720571035405,-23.50972,150.319466
"142","STAN-4",-58.3191441463892,-23.50972,150.319466
"143","SWAN_E",208.784916818182,-27.655374,152.817938
"144","TALWA1",465.174500454545,-34.522778,150.808056
"145","TARONG#1",52.5092248400441,-26.782358,151.915273
"146","TARONG#2",52.5092248400441,-26.782358,151.915273
"147","TARONG#3",52.5092248400441,-26.782358,151.915273
"148","TARONG#4",52.5092248400441,-26.782358,151.915273
"149","TARRALEA",-3395.12972643747,-42.301208,146.457156
"150","TNPS1",52.889626986835,-26.775763,151.914602
"151","TORRA1",5833.07683237113,-34.806844,138.521322
"152","TORRA2",5833.07683237113,-34.806844,138.521322
"153","TORRA3",5833.07683237113,-34.806844,138.521322
"154","TORRA4",5833.07683237113,-34.806844,138.521322
"155","TORRB1",5607.01635821782,-34.805171,138.52262
"156","TORRB2",-322639.400839565,-34.805171,138.52262
"157","TORRB3",5833.07925505155,-34.805171,138.52262
"158","TORRB4",5833.07925505155,-34.805171,138.52262
"159","TREVALLN",-959.400279357584,-41.423142,147.11283
"160","TRIBUTE",-3132.88652766725,-41.811805,145.653567
"161","TUMUT3",50.0525756318953,-35.611218,148.291685
"162","TUNGATIN",-1093.87680313772,-42.296671,146.456543
"163","TVCC201",-17128.5045720144,-41.140125,146.903636
"164","TVPP104",65.4340974278846,-41.140125,146.903636
"165","UPPTUMUT",64.8786395870488,-35.951729,148.36371
"166","URANQ11",461.475794365572,-35.179395,147.215692
"167","URANQ12",-949.453110520996,-35.179395,147.215692
"168","URANQ13",-210.808399137122,-35.179395,147.215692
