duid,profit_lmp,profit_lmp_mc,profit_rrp,type,station,fuel_type,schedule_type,region
VPGS5,187283.938836,137774.35399547,185916.339906,Gen,Valley Power,Gas,Scheduled,VIC
VPGS6,187283.938836,137774.35399547,185916.339906,Gen,Valley Power,Gas,Scheduled,VIC
W/HOE#1,105246.192707,83876.9704295638,105246.192707,Gen,Wivenhoe,Pumped Hydro (Release),Scheduled,QLD
W/HOE#2,105246.192707,83876.9704295638,105246.192707,Gen,Wivenhoe,Pumped Hydro (Release),Scheduled,QLD
WATERLWF,338606.867148,186770.173434633,282293.884433,Gen,Waterloo Wind Farm,Wind,Semi-scheduled,SA
WEMENSF1,249207.631589,203344.425449,185916.339906,Gen,Wemen Solar Farm,Solar,Semi-scheduled,VIC
WGWF1,335805.316824,181950.353972504,282293.884433,Gen,Willogoleche Wind Farm,Wind,Semi-scheduled,SA
WHITSF1,126257.349913,64793.757543,105246.192707,Gen,Whitsunday Solar Farm,Solar,Semi-scheduled,QLD
WKIEWA1,129671.638923,112916.528624159,185916.339906,Gen,West Kiewa,Hydro,Scheduled,VIC
WKIEWA2,129671.638923,112916.528624159,185916.339906,Gen,West Kiewa,Hydro,Scheduled,VIC
WOODLWN1,100583.459872,99207.3397643905,88703.045594,Gen,Woodlawn Wind Farm,Wind,Semi-scheduled,NSW
WRSF1,90179.088225,89493.754795,88703.045594,Gen,White Rock Solar Farm,Solar,Semi-scheduled,NSW
WRWF1,90179.088225,89279.8023124541,88703.045594,Gen,White Rock Wind Farm,Wind,Semi-scheduled,NSW
YABULU,128063.731173,45253.7851767655,105246.192707,Gen,Yabulu,Gas,Scheduled,QLD
YABULU2,128063.789173,45253.7131767655,105246.192707,Gen,Yabulu,Gas,Scheduled,QLD
YARWUN_1,105246.192707,58565.7364639382,105246.192707,Gen,Yarwun,Gas,Scheduled,QLD
YENDWF1,173043.917478,163979.286421732,185916.339906,Gen,Yendon Wind Farm,Wind,Semi-scheduled,VIC
YWPS1,187153.707956,176525.642994166,185916.339906,Gen,Yallourn W,Brown Coal,Scheduled,VIC
YWPS2,185817.80489,176647.97811892,185916.339906,Gen,Yallourn W,Brown Coal,Scheduled,VIC
YWPS3,185817.80489,176647.97811892,185916.339906,Gen,Yallourn W,Brown Coal,Scheduled,VIC
YWPS4,185817.80489,176647.97811892,185916.339906,Gen,Yallourn W,Brown Coal,Scheduled,VIC
