duid,alpha_mc,beta_mc,type,station,fuel_type,schedule_type,region
BRAEMAR3,98.0266485721131,0.178505846826741,Gen,Braemar 1,Gas,Scheduled,QLD
BRAEMAR5,98.0266485721131,0.178505846826741,Gen,Braemar 2,Gas,Scheduled,QLD
BRAEMAR6,98.0266485721131,0.178505846826741,Gen,Braemar 2,Gas,Scheduled,QLD
BRAEMAR7,98.0266485721131,0.178505846826741,Gen,Braemar 2,Gas,Scheduled,QLD
CALL_A_2,13.5919091932824,0.852320505489073,Gen,Callide,Black Coal,Scheduled,QLD
CALL_B_1,55.8474445299212,0.181138570770464,Gen,Callide,Black Coal,Scheduled,QLD
CALL_B_2,55.8474445299212,0.181138570770464,Gen,Callide,Black Coal,Scheduled,QLD
CHILDSF1,55.2536123464867,0.215621768112573,Gen,Childers Solar Farm,Solar,Semi-scheduled,QLD
CLARESF1,53.0516249995127,0.183909671404161,Gen,Clare Solar Farm,Solar,Semi-scheduled,QLD
CLERMSF1,49.3630757695887,0.258596789777178,Gen,Clermont Solar Farm,Solar,Semi-scheduled,QLD
COOPGWF1,52.128775020043,0.280643974378285,Gen,Coopers Gap Wind Farm,Wind,Semi-scheduled,QLD
CPP_3,55.8085010110873,0.181272359697346,Gen,Callide,Black Coal,Scheduled,QLD
CPP_4,55.8085010110873,0.181272359697346,Gen,Callide,Black Coal,Scheduled,QLD
CPSA,64.3857419234079,0.227309570573092,Gen,Condamine,Gas,Scheduled,QLD
CSPVPS1,52.7094818155072,0.182810457157028,Gen,Collinsville Solar PV,Solar,Semi-scheduled,QLD
DAYDSF1,52.9994138022486,0.182256981359269,Gen,Daydream Solar Farm,Solar,Semi-scheduled,QLD
DDPS1,66.0361146676632,0.223237281411784,Gen,Darling Downs,Gas,Scheduled,QLD
DDSF1,51.9088991130058,0.282603582656222,Gen,Darling Downs Solar Farm,Solar,Semi-scheduled,QLD
EMERASF1,52.8540985682543,0.182887493348368,Gen,Emerald Solar Park,Solar,Semi-scheduled,QLD
GSTONE1,57.0970900836462,0.165221936839982,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE2,57.0970900836462,0.165221936839982,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE3,57.0492947547681,0.154942769933015,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE4,57.0492947547681,0.154942769933015,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE5,57.0970900836462,0.165221936839982,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE6,57.0970827605117,0.165144182971782,Gen,Gladstone,Black Coal,Scheduled,QLD
HAMISF1,52.9789029818622,0.182264431695068,Gen,Hamilton Solar Farm,Solar,Semi-scheduled,QLD
HAUGHT11,52.8147183381979,0.187794986267653,Gen,Haughton Solar Farm Stage 1 Units 1-81,Solar,Semi-scheduled,QLD
HAYMSF1,53.000093386357,0.182259571285776,Gen,Hayman Solar Farm,Solar,Semi-scheduled,QLD
KAREEYA1,53.7011321667638,0.180224226602025,Gen,Kareeya,Hydro,Scheduled,QLD
KAREEYA2,53.7011321667638,0.180224226602025,Gen,Kareeya,Hydro,Scheduled,QLD
KAREEYA3,53.7011321667638,0.180224226602025,Gen,Kareeya,Hydro,Scheduled,QLD
KAREEYA4,53.7011321667638,0.180224226602025,Gen,Kareeya,Hydro,Scheduled,QLD
