duid,alpha,beta,type,station,fuel_type,schedule_type,region
YWPS3,55.3135823278404,0.598864874587807,Gen,Yallourn W,Brown Coal,Scheduled,VIC
URANQ14,93.0857703196005,0.638114823811955,Gen,Uranquinty,Gas,Scheduled,NSW
BRAEMAR7,48.5422795694514,0.424434998314893,Gen,Braemar 2,Gas,Scheduled,QLD
GSTONE5,-172.342949910107,2.71914729569487,Gen,Gladstone,Black Coal,Scheduled,QLD
DAYDSF1,-182.49023380678,2.89797884026044,Gen,Daydream Solar Farm,Solar,Semi-scheduled,QLD
UPPTUMUT,66.7594553666558,0.462758190786581,Gen,Upper Tumut,Hydro,Scheduled,NSW
CG2,43.2253922199955,0.850626077027177,Gen,Colongra,Gas,Scheduled,NSW
TARONG#3,37.2300334936733,0.481651842946975,Gen,Tarong,Black Coal,Scheduled,QLD
TORRA2,18.6501540037704,1.00831200896187,Gen,Torrens Island,Gas,Scheduled,SA
W/HOE#1,64.8100125155249,0.54880040526011,Gen,Wivenhoe,Pumped Hydro (Release),Scheduled,QLD
REECE2,53.0340487840437,0.338071881860376,Gen,Reece,Hydro,Scheduled,TAS
BBTHREE1,40.3611906740292,0.799573373750017,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
BBTHREE2,65.3421847179153,0.653139922615943,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
HAYMSF1,-185.712720655648,3.13244324392182,Gen,Hayman Solar Farm,Solar,Semi-scheduled,QLD
W/HOE#2,54.5318346322507,0.700154008840452,Gen,Wivenhoe,Pumped Hydro (Release),Scheduled,QLD
BRAEMAR3,61.2983617101281,0.476762689415654,Gen,Braemar 1,Gas,Scheduled,QLD
TORRA3,24.0190592246798,0.925897554521217,Gen,Torrens Island,Gas,Scheduled,SA
ROMA_7,62.8135836057237,0.374866906375676,Gen,Roma,Gas,Scheduled,QLD
LNGS1,30.6311312886689,1.13678238203339,Gen,Laverton,Gas,Scheduled,VIC
LNGS2,33.6748076451421,1.12880106828227,Gen,Laverton,Gas,Scheduled,VIC
AGLSOM,39.576494844578,0.961872500226568,Gen,Somerton,Gas,Scheduled,VIC
VPGS2,-34.9525616547366,1.7175750657901,Gen,Valley Power,Gas,Scheduled,VIC
VPGS1,-40.6900253025731,1.65971731874639,Gen,Valley Power,Gas,Scheduled,VIC
MINTARO,41.5556760918637,1.1670529248355,Gen,Mintaro,Gas,Scheduled,SA
BRAEMAR1,63.2148589507061,0.483747305038215,Gen,Braemar 1,Gas,Scheduled,QLD
HVGTS,70.2188141907003,0.800917033469248,Gen,Hunter Valley GT,Gas,Scheduled,NSW
VPGS3,-30.0965231431662,1.68683184539391,Gen,Valley Power,Gas,Scheduled,VIC
DRYCGT1,25.5780606801474,1.46035622720267,Gen,Dry Creek,Gas,Scheduled,SA
VPGS5,-7.33460240641284,1.46267349529306,Gen,Valley Power,Gas,Scheduled,VIC
VPGS6,29.6522612144069,1.25473038656209,Gen,Valley Power,Gas,Scheduled,VIC
JLA03,20.787304440783,0.983890623332065,Gen,Jeeralang A,Gas,Scheduled,VIC
BBTHREE3,54.630702176715,0.775713833274285,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
OAKEY1,60.9330258817209,0.598079325813051,Gen,Oakey,Gas,Scheduled,QLD
BARCALDN,-73.1096125880382,1.27896594916827,Gen,Barcaldine,Gas,Scheduled,QLD
CG3,107.095644708987,0.582548537658555,Gen,Colongra,Gas,Scheduled,NSW
QPS1,62.8393686296132,0.485397127462486,Gen,Quarantine,Gas,Scheduled,SA
OAKEY2,43.3068278147968,0.607604582565483,Gen,Oakey,Gas,Scheduled,QLD
YABULU2,-127.59352724027,2.08490450335248,Gen,Yabulu,Gas,Scheduled,QLD
POR01,4956.27030627036,-14.9325002704266,Gen,Port Lincoln,Liquid Fuel,Scheduled,SA
POR03,-188.208180991879,3.02219183197631,Gen,Port Lincoln,Liquid Fuel,Scheduled,SA
ROMA_8,34.5124377960907,0.614225363826539,Gen,Roma,Gas,Scheduled,QLD
CG1,28.6354876480591,0.796135217853893,Gen,Colongra,Gas,Scheduled,NSW
TVCC201,17.8948353003475,0.916328878934229,Gen,Tamar Valley,Gas,Scheduled,TAS
CHILDSF1,16.3036958436777,0.644199635485809,Gen,Childers Solar Farm,Solar,Semi-scheduled,QLD
MSTUART1,-92.2278347960498,1.36820686728916,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD
MSTUART2,-309.557245536935,2.52512080800367,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD
TBSF1,-61.3162519647205,1.36118635514522,Gen,Tailem Bend Solar Project 1,Solar,Semi-scheduled,SA
LILYSF1,-223.107758755756,3.56820445072847,Gen,Lilyvale Solar Farm,Solar,Semi-scheduled,QLD
OAKEY1SF,38.8628593241287,0.465674477212431,Gen,Oakey 1 Solar Farm,Solar,Semi-scheduled,QLD
CG4,147.645287507988,0.12296491663846,Gen,Colongra,Gas,Scheduled,NSW
MUWAWF1,21.4522631824332,0.670167139761167,Gen,Murra Warra Wind Farm,Wind,Semi-scheduled,VIC
BERYLSF1,61.8941972797514,0.284877604067434,Gen,Beryl Solar Farm,Solar,Semi-scheduled,NSW
LGAPWF1,-156.831544961299,2.18370218960611,Gen,Lincoln Gap Wind Farm,Wind,Semi-scheduled,SA
NUMURSF1,67.8854097487674,0.412730858272834,Gen,Numurkah Solar Farm,Solar,Semi-scheduled,VIC
MSTUART3,-173.681519428394,0.36845982623455,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD
HAUGHT11,-224.483411440402,3.79380450609851,Gen,Haughton Solar Farm Stage 1 Units 1-81,Solar,Semi-scheduled,QLD
RUGBYR1,-213.211200940524,3.7380766888663,Gen,Rugby Run Solar Farm,Solar,Semi-scheduled,QLD
YENDWF1,57.6583036135797,0.528550859684215,Gen,Yendon Wind Farm,Wind,Semi-scheduled,VIC
