duid,profit_lmp,profit_lmp_mc,profit_rrp,profit_lmp_90,profit_lmp_mc_90,profit_rrp_90,type,station,fuel_type,schedule_type,region
MURRAY,132745.88388,119020.8111498,206924.92925,119664.019179,105938.9464488,185916.339906,Gen,Murray,Hydro,Scheduled,VIC
MUSSELR1,333186.70515,254585.02174553,293943.94213,306825.916509,228224.23310453,264590.034752,Gen,Musselroe Wind Farm,Wind,Semi-scheduled,TAS
MUWAWF1,208593.28988,181968.489193316,206924.92925,189363.8078,162739.007113316,185916.339906,Gen,Murra Warra Wind Farm,Wind,Semi-scheduled,VIC
NBHWF1,357996.85956,203174.971232032,303604.65897,336852.329804,182028.629339032,282293.884433,Gen,North Brown Hill Wind Farm,Wind,Semi-scheduled,SA
NEVERSF1,99692.23835,99477.57513,99692.23835,88703.045594,88488.382374,88703.045594,Gen,NEVERTIRE SOLAR FARM,Solar,Semi-scheduled,NSW
NPS,208782.32765,177097.407110649,206924.92925,187499.319371,155811.46824472,185916.339906,Gen,Newport,Gas,Scheduled,VIC
NPS1,303604.65897,202843.273776375,303604.65897,282293.884433,181532.499239375,282293.884433,Gen,Northern,Brown Coal,Scheduled,SA
NPS2,303604.65897,202843.273776375,303604.65897,282293.884433,181532.499239375,282293.884433,Gen,Northern,Brown Coal,Scheduled,SA
NUMURSF1,197069.04962,190092.06897,206924.92925,176943.416586,169966.435936,185916.339906,Gen,Numurkah Solar Farm,Solar,Semi-scheduled,VIC
NYNGAN1,99365.55611,99150.89289,99692.23835,88409.031578,88194.368358,88703.045594,Gen,Nyngan Solar Plant,Solar,Semi-scheduled,NSW
OAKEY1,115504.47885,66425.336597336,115495.10944,105255.562117,56163.2403244482,105246.192707,Gen,Oakey,Gas,Scheduled,QLD
OAKEY1SF,115495.10944,95060.48277,115495.10944,105246.192707,84811.566037,105246.192707,Gen,Oakey 1 Solar Farm,Solar,Semi-scheduled,QLD
OAKEY2,115504.47885,66425.336597336,115495.10944,105255.562117,56163.2403244482,105246.192707,Gen,Oakey,Gas,Scheduled,QLD
OAKEY2SF,119120.735,95193.57902,115495.10944,108887.974955,84960.818975,105246.192707,Gen,Oakey 2 Solar Farm,Solar,Semi-scheduled,QLD
OAKLAND1,215001.85445,170854.598962432,206924.92925,196856.728993,152709.473505432,185916.339906,Gen,Oaklands Hill Wind Farm,Wind,Semi-scheduled,VIC
OSB-AG,312249.92459,187422.234149262,303604.65897,290281.440724,165453.383719834,282293.884433,Gen,Osborne,Gas,Scheduled,SA
PARSF1,99371.39409,99156.73087,99692.23835,88414.28576,88199.62254,88703.045594,Gen,Parkes Solar Farm,Solar,Semi-scheduled,NSW
PLAYB-AG,303604.65897,202070.099145559,303604.65897,282293.884433,180759.324608559,282293.884433,Gen,Playford,Brown Coal,Scheduled,SA
POAT110,279033.62665,265120.461738078,293943.94213,251414.416358,237501.251446078,264590.034752,Gen,Poatina,Hydro,Scheduled,TAS
POAT220,281672.49521,268158.388630927,293943.94213,253749.972491,240235.865911927,264590.034752,Gen,Poatina,Hydro,Scheduled,TAS
POR01,323325.67822,123620.855595449,303604.65897,301371.387586,91893.7363943742,282293.884433,Gen,Port Lincoln,Liquid Fuel,Scheduled,SA
POR03,309005.67822,109453.694056987,303604.65897,288483.387586,79143.2910097588,282293.884433,Gen,Port Lincoln,Liquid Fuel,Scheduled,SA
PPCCGT,306738.75111,184518.202186842,303604.65897,285427.976573,163207.427649842,282293.884433,Gen,Pelican Point,Gas,Scheduled,SA
PTSTAN1,303604.65897,116994.488174754,303604.65897,282293.884433,85906.019229926,282293.884433,Gen,Pt Stanvac,Liquid Fuel,Scheduled,SA
PUMP1,115495.10944,94125.8871625638,115495.10944,105246.192707,83876.9704295638,105246.192707,Load,Wivenhoe,Pumped Hydro (Pumping),Scheduled,QLD
PUMP2,115495.10944,94125.8871625638,115495.10944,105246.192707,83876.9704295638,105246.192707,Load,Wivenhoe,Pumped Hydro (Pumping),Scheduled,QLD
QPS1,333930.25638,198980.492488631,303604.65897,309793.354342,174815.910174159,282293.884433,Gen,Quarantine,Gas,Scheduled,SA
QPS2,333930.25638,198980.492488631,303604.65897,309793.354342,174815.910174159,282293.884433,Gen,Quarantine,Gas,Scheduled,SA
QPS3,333930.25638,198980.492488631,303604.65897,309793.354342,174815.910174159,282293.884433,Gen,Quarantine,Gas,Scheduled,SA
QPS4,333930.25638,198980.492488631,303604.65897,309793.354342,174815.910174159,282293.884433,Gen,Quarantine,Gas,Scheduled,SA
QPS5,333930.25638,198980.492488631,303604.65897,309793.354342,174815.910174159,282293.884433,Gen,Quarantine,Gas,Scheduled,SA
REECE1,304330.13298,279158.68416085,293943.94213,275382.913132,250211.46431285,264590.034752,Gen,Reece,Hydro,Scheduled,TAS
REECE2,299023.47239,279765.178645146,293943.94213,270007.204682,250748.910937146,264590.034752,Gen,Reece,Hydro,Scheduled,TAS
ROMA_7,100638.15662,48847.7206966177,115495.10944,91891.747789,40063.3928113477,105246.192707,Gen,Roma,Gas,Scheduled,QLD
ROMA_8,100638.15662,48847.7206966177,115495.10944,91891.747789,40063.3928113477,105246.192707,Gen,Roma,Gas,Scheduled,QLD
RRSF1,134975.28748,72682.36944,115495.10944,127289.713009,64822.454119,105246.192707,Gen,Ross River Solar Farm,Solar,Semi-scheduled,QLD
RUGBYR1,128465.93933,72735.94198,115495.10944,120721.05793,64816.71973,105246.192707,Gen,Rugby Run Solar Farm,Solar,Semi-scheduled,QLD
SALTCRK1,210760.32325,198241.867042933,206924.92925,189810.923999,177292.467791933,185916.339906,Gen,Salt Creek Wind Farm,Wind,Semi-scheduled,VIC
SAPHWF1,93999.58564,85594.4367303455,99692.23835,84590.537854,76185.3889443455,88703.045594,Gen,Sapphire Wind Farm,Wind,Semi-scheduled,NSW
SHGEN,99467.07233,98729.060577021,99692.23835,88502.560661,87764.548908021,88703.045594,Gen,Shoalhaven,Pumped Hydro (Release),Scheduled,NSW
SHPUMP,99941.45835,99203.446597021,99692.23835,88927.343594,88189.331841021,88703.045594,Load,Shoalhaven,Pumped Hydro (Pumping),Scheduled,NSW
SITHE01,99692.23835,78441.4601797669,99692.23835,88703.045594,67451.6365737912,88703.045594,Gen,Smithfield Energy Facility,Gas,Scheduled,NSW
SMCSF1,144603.13619,72952.87434,115495.10944,136904.025652,65079.422952,105246.192707,Gen,Sun Metals Solar Farm,Solar,Semi-scheduled,QLD
SNOWNTH1,349297.3057,203329.483445504,303604.65897,328119.76542,182151.943165504,282293.884433,Gen,Snowtown North Wind Farm,Wind,Semi-scheduled,SA
SNOWSTH1,349297.3057,203329.483445504,303604.65897,328119.76542,182151.943165504,282293.884433,Gen,Snowtown South Wind Farm,Wind,Semi-scheduled,SA
SNOWTWN1,370614.17916,204728.385297346,303604.65897,349330.280136,183444.486273346,282293.884433,Gen,Snowtown Wind Farm,Wind,Semi-scheduled,SA
SNOWYP,122031.65104,109538.218825148,99692.23835,110317.5379,97824.1056851477,88703.045594,Load,Tumut 3,Pumped Hydro (Pumping),Scheduled,NSW
SNUG1,316922.32493,103451.280793911,303604.65897,297143.635037,73741.1190729896,282293.884433,Gen,Snuggery,Liquid Fuel,Scheduled,SA
SRSF1,121189.05699,77265.19118,115495.10944,112838.15629,68914.29048,105246.192707,Gen,Susan River Solar Farm,Solar,Semi-scheduled,QLD
STAN-1,133582.47985,65758.6532300882,115495.10944,125882.147571,57877.8853262605,105246.192707,Gen,Stanwell,Black Coal,Scheduled,QLD
STAN-2,133582.47985,65758.6532300882,115495.10944,125882.147571,57877.8853262605,105246.192707,Gen,Stanwell,Black Coal,Scheduled,QLD
STAN-3,133582.47985,65758.6532300882,115495.10944,125882.147571,57877.8853262605,105246.192707,Gen,Stanwell,Black Coal,Scheduled,QLD
STAN-4,133582.47985,65758.6532300882,115495.10944,125882.147571,57877.8853262605,105246.192707,Gen,Stanwell,Black Coal,Scheduled,QLD
STWF1,373683.36136,258766.861197979,99692.23835,346914.81139,231998.311227979,88703.045594,Gen,Silverton Wind Farm,Wind,Semi-scheduled,NSW
SWAN_B_1,115495.10944,86827.3348062496,115495.10944,105246.192707,76578.4180732496,105246.192707,Gen,Swanbank,Black Coal,Scheduled,QLD
SWAN_B_2,115495.10944,86827.3348062496,115495.10944,105246.192707,76578.4180732496,105246.192707,Gen,Swanbank,Black Coal,Scheduled,QLD
SWAN_B_3,115495.10944,86827.3348062496,115495.10944,105246.192707,76578.4180732496,105246.192707,Gen,Swanbank,Black Coal,Scheduled,QLD
SWAN_B_4,115495.10944,86827.3348062496,115495.10944,105246.192707,76578.4180732496,105246.192707,Gen,Swanbank,Black Coal,Scheduled,QLD
SWAN_E,115495.10944,77354.367085463,115495.10944,105246.192707,67105.450352463,105246.192707,Gen,Swanbank,Gas,Scheduled,QLD
TALWA1,99459.02022,83351.3499807422,99692.23835,88494.772551,72387.1023117422,88703.045594,Gen,Tallawarra,Gas,Scheduled,NSW
TARALGA1,112801.00752,111418.825821427,99692.23835,100532.646412,99150.4647134268,88703.045594,Gen,Taralga Wind Farm,Wind,Semi-scheduled,NSW
TARONG#1,100662.03143,74546.4202485738,115495.10944,91911.218118,65795.6069365738,105246.192707,Gen,Tarong,Black Coal,Scheduled,QLD
TARONG#2,100662.03143,74546.4202485738,115495.10944,91911.218118,65795.6069365738,105246.192707,Gen,Tarong,Black Coal,Scheduled,QLD
TARONG#3,100662.03143,74546.4202485738,115495.10944,91911.218118,65795.6069365738,105246.192707,Gen,Tarong,Black Coal,Scheduled,QLD
TARONG#4,100662.03143,74546.4202485738,115495.10944,91911.218118,65795.6069365738,105246.192707,Gen,Tarong,Black Coal,Scheduled,QLD
TARRALEA,319812.35871,296420.212633758,293943.94213,289094.31693,265701.435599043,264590.034752,Gen,Tarraleah,Hydro,Scheduled,TAS
TBSF1,335447.50965,203999.10243,303604.65897,314244.937042,182796.529822,282293.884433,Gen,Tailem Bend Solar Project 1,Solar,Semi-scheduled,SA
TNPS1,100662.03143,75087.2500127735,115495.10944,91911.218118,66336.4367007735,105246.192707,Gen,Tarong North,Black Coal,Scheduled,QLD
TORRA1,303604.65897,167772.779752826,303604.65897,282293.884433,146413.529357109,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA
TORRA2,303604.65897,167772.779752826,303604.65897,282293.884433,146413.529357109,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA
TORRA3,303604.65897,167772.779752826,303604.65897,282293.884433,146413.529357109,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA
TORRA4,303604.65897,167772.779752826,303604.65897,282293.884433,146413.529357109,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA
TORRB1,303604.65897,171128.109475398,303604.65897,282293.884433,149792.993237859,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA
TORRB2,304623.45736,171128.109475398,303604.65897,283312.682823,149792.993237859,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA
TORRB3,303604.65897,171128.109475398,303604.65897,282293.884433,149792.993237859,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA
TORRB4,303604.65897,171128.109475398,303604.65897,282293.884433,149792.993237859,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA
TREVALLN,280870.98861,268294.841078078,293943.94213,252935.473942,240359.326410078,264590.034752,Gen,Trevallyn,Hydro,Scheduled,TAS
TRIBUTE,298264.55319,279115.85258085,293943.94213,269308.715482,250160.01487285,264590.034752,Gen,Tribute,Hydro,Scheduled,TAS
TUMUT3,140058.90196,138045.400531318,99692.23835,125026.462451,123012.961022318,88703.045594,Gen,Tumut 3,Pumped Hydro (Release),Scheduled,NSW
TUNGATIN,319812.35871,296420.212633758,293943.94213,289094.31693,265701.435599043,264590.034752,Gen,Tungatinah,Hydro,Scheduled,TAS
TVCC201,319879.18698,265908.463045021,293943.94213,290534.723602,236558.233699021,264590.034752,Gen,Tamar Valley,Gas,Scheduled,TAS
TVPP104,293943.28225,248929.221846648,293943.94213,264588.76586,219496.119923657,264590.034752,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
UPPTUMUT,167671.42369,165947.873251318,99692.23835,149810.913011,148087.362572318,88703.045594,Gen,Upper Tumut,Hydro,Scheduled,NSW
URANQ11,223673.66974,192274.128372605,99692.23835,200396.035251,168976.213719736,88703.045594,Gen,Uranquinty,Gas,Scheduled,NSW
URANQ12,222624.67974,192274.128372605,99692.23835,199347.045251,168976.213719736,88703.045594,Gen,Uranquinty,Gas,Scheduled,NSW
URANQ13,224731.66979,192274.128372605,99692.23835,201454.035301,168976.213719736,88703.045594,Gen,Uranquinty,Gas,Scheduled,NSW
URANQ14,223673.66974,192274.128372605,99692.23835,200396.035251,168976.213719736,88703.045594,Gen,Uranquinty,Gas,Scheduled,NSW
VP5,100999.46713,91722.3556097439,99692.23835,90047.342745,80770.2312247439,88703.045594,Gen,Vales Point B,Black Coal,Scheduled,NSW
VP6,100999.46713,91722.3556097439,99692.23835,90047.342745,80770.2312247439,88703.045594,Gen,Vales Point B,Black Coal,Scheduled,NSW
VPGS,206924.92925,158895.212012309,206924.92925,185916.339906,137774.35399547,185916.339906,Gen,Valley Power,Gas,Scheduled,VIC
VPGS1,208292.52818,158895.212012309,206924.92925,187283.938836,137774.35399547,185916.339906,Gen,Valley Power,Gas,Scheduled,VIC
VPGS2,208292.52818,158895.212012309,206924.92925,187283.938836,137774.35399547,185916.339906,Gen,Valley Power,Gas,Scheduled,VIC
VPGS3,208292.52818,158895.212012309,206924.92925,187283.938836,137774.35399547,185916.339906,Gen,Valley Power,Gas,Scheduled,VIC
VPGS4,208292.52818,158895.212012309,206924.92925,187283.938836,137774.35399547,185916.339906,Gen,Valley Power,Gas,Scheduled,VIC
VPGS5,208292.52818,158895.212012309,206924.92925,187283.938836,137774.35399547,185916.339906,Gen,Valley Power,Gas,Scheduled,VIC
VPGS6,208292.52818,158895.212012309,206924.92925,187283.938836,137774.35399547,185916.339906,Gen,Valley Power,Gas,Scheduled,VIC
W/HOE#1,115495.10944,94125.8871625638,115495.10944,105246.192707,83876.9704295638,105246.192707,Gen,Wivenhoe,Pumped Hydro (Release),Scheduled,QLD
W/HOE#2,115495.10944,94125.8871625638,115495.10944,105246.192707,83876.9704295638,105246.192707,Gen,Wivenhoe,Pumped Hydro (Release),Scheduled,QLD
WATERLWF,360283.88753,208447.193816633,303604.65897,338606.867148,186770.173434633,282293.884433,Gen,Waterloo Wind Farm,Wind,Semi-scheduled,SA
WEMENSF1,272723.97557,226860.76943,206924.92925,249207.631589,203344.425449,185916.339906,Gen,Wemen Solar Farm,Solar,Semi-scheduled,VIC
WGWF1,356949.62958,203096.478865504,303604.65897,335805.316824,181950.353972504,282293.884433,Gen,Willogoleche Wind Farm,Wind,Semi-scheduled,SA
WHITSF1,133942.989,72653.73748,115495.10944,126257.349913,64793.757543,105246.192707,Gen,Whitsunday Solar Farm,Solar,Semi-scheduled,QLD
WKIEWA1,143471.37675,126716.266451159,206924.92925,129671.638923,112916.528624159,185916.339906,Gen,West Kiewa,Hydro,Scheduled,VIC
WKIEWA2,143471.37675,126716.266451159,206924.92925,129671.638923,112916.528624159,185916.339906,Gen,West Kiewa,Hydro,Scheduled,VIC
WOODLWN1,112854.79598,111478.675872391,99692.23835,100583.459872,99207.3397643905,88703.045594,Gen,Woodlawn Wind Farm,Wind,Semi-scheduled,NSW
WRSF1,101213.60533,100528.2719,99692.23835,90179.088225,89493.754795,88703.045594,Gen,White Rock Solar Farm,Solar,Semi-scheduled,NSW
WRWF1,101213.60533,100314.319417454,99692.23835,90179.088225,89279.8023124541,88703.045594,Gen,White Rock Wind Farm,Wind,Semi-scheduled,NSW
WW7,99692.23835,94715.7478987162,99692.23835,88703.045594,83726.5551427162,88703.045594,Gen,Wallerawang,Black Coal,Scheduled,NSW
WW8,99692.23835,94715.7478987162,99692.23835,88703.045594,83726.5551427162,88703.045594,Gen,Wallerawang,Black Coal,Scheduled,NSW
YABULU,135749.34126,53128.7448478959,115495.10944,128063.731173,45253.7851767655,105246.192707,Gen,Yabulu,Gas,Scheduled,QLD
YABULU2,135749.39126,53128.6648478959,115495.10944,128063.789173,45253.7131767655,105246.192707,Gen,Yabulu,Gas,Scheduled,QLD
YARANSF1,115495.10944,95060.48277,115495.10944,105246.192707,84811.566037,105246.192707,Gen,Yarranlea Solar Farm,Solar,Semi-scheduled,QLD
YARWUN_1,115495.10944,68817.3434308946,115495.10944,105246.192707,58565.7364639382,105246.192707,Gen,Yarwun,Gas,Scheduled,QLD
YENDWF1,192520.62991,183455.998853732,206924.92925,173043.917478,163979.286421732,185916.339906,Gen,Yendon Wind Farm,Wind,Semi-scheduled,VIC
YWPS1,208162.2973,197534.232338166,206924.92925,187153.707956,176525.642994166,185916.339906,Gen,Yallourn W,Brown Coal,Scheduled,VIC
YWPS2,206852.526,197682.69922892,206924.92925,185817.80489,176647.97811892,185916.339906,Gen,Yallourn W,Brown Coal,Scheduled,VIC
YWPS3,206852.526,197682.69922892,206924.92925,185817.80489,176647.97811892,185916.339906,Gen,Yallourn W,Brown Coal,Scheduled,VIC
YWPS4,206852.526,197682.69922892,206924.92925,185817.80489,176647.97811892,185916.339906,Gen,Yallourn W,Brown Coal,Scheduled,VIC
