duid,profit_lmp,profit_lmp_mc,profit_rrp,profit_lmp_90,profit_lmp_mc_90,profit_rrp_90,type,station,fuel_type,schedule_type,region
CG2,101963.1766,71823.158195434,99692.23835,90746.890019,60570.3405602824,88703.045594,Gen,Colongra,Gas,Scheduled,NSW
CG3,101963.1766,71823.158195434,99692.23835,90746.890019,60570.3405602824,88703.045594,Gen,Colongra,Gas,Scheduled,NSW
CG4,101963.1766,71823.158195434,99692.23835,90746.890019,60570.3405602824,88703.045594,Gen,Colongra,Gas,Scheduled,NSW
CHILDSF1,110995.27752,77238.71063,115495.10944,102627.32782,68870.76093,105246.192707,Gen,Childers Solar Farm,Solar,Semi-scheduled,QLD
CLARESF1,131947.2453,72804.39587,115495.10944,124247.785021,64930.594741,105246.192707,Gen,Clare Solar Farm,Solar,Semi-scheduled,QLD
CLEMGPWF,349923.84234,203442.974295504,303604.65897,328728.94498,182248.076935504,282293.884433,Gen,Clements Gap Wind Farm,Wind,Semi-scheduled,SA
CLERMSF1,128374.70353,78374.21111,115495.10944,120026.410076,69851.576806,105246.192707,Gen,Clermont Solar Farm,Solar,Semi-scheduled,QLD
COLEASF1,260704.60352,182015.52282,99692.23835,241582.742826,162893.662126,88703.045594,Gen,Coleambally Solar Farm,Solar,Semi-scheduled,NSW
COLNSV_1,115495.10944,86684.5953525766,115495.10944,105246.192707,76435.6786195766,105246.192707,Gen,Collinsville,Black Coal,Scheduled,QLD
COLNSV_2,115495.10944,86684.5953525766,115495.10944,105246.192707,76435.6786195766,105246.192707,Gen,Collinsville,Black Coal,Scheduled,QLD
COLNSV_3,115495.10944,86684.5953525766,115495.10944,105246.192707,76435.6786195766,105246.192707,Gen,Collinsville,Black Coal,Scheduled,QLD
COLNSV_4,115495.10944,86684.5953525766,115495.10944,105246.192707,76435.6786195766,105246.192707,Gen,Collinsville,Black Coal,Scheduled,QLD
COLNSV_5,115495.10944,86684.5953525766,115495.10944,105246.192707,76435.6786195766,105246.192707,Gen,Collinsville,Black Coal,Scheduled,QLD
COOPGWF1,100619.14445,79713.5589270066,115495.10944,91872.431929,70966.8464060066,105246.192707,Gen,Coopers Gap Wind Farm,Wind,Semi-scheduled,QLD
CPP_3,132180.71798,67236.5936857101,115495.10944,124426.428897,59302.4869491706,105246.192707,Gen,Callide,Black Coal,Scheduled,QLD
CPP_4,132180.71798,67236.5936857101,115495.10944,124426.428897,59302.4869491706,105246.192707,Gen,Callide,Black Coal,Scheduled,QLD
CPSA,100638.15662,62795.0875335481,115495.10944,91891.747789,54048.6787025481,105246.192707,Gen,Condamine,Gas,Scheduled,QLD
CROOKWF2,111802.79709,111417.265821427,99692.23835,99534.591982,99149.0607134268,88703.045594,Gen,Crookwell 2 Wind Farm,Wind,Semi-scheduled,NSW
CROWLWF1,245365.95873,225965.621102353,206924.92925,221649.999049,202249.661421353,185916.339906,Gen,Crowlands Wind Farm,Wind,Semi-scheduled,VIC
CSPVPS1,191967.0173,73376.72311,115495.10944,184283.504199,65518.869159,105246.192707,Gen,Collinsville Solar PV,Solar,Semi-scheduled,QLD
CTHLWF1,293943.94213,283003.817620856,293943.94213,264590.034752,253649.910242856,264590.034752,Gen,Cattle Hill Wind Farm,Wind,Semi-scheduled,TAS
DALNTH01,340997.53582,207877.09298,303604.65897,319420.298305,186299.855465,282293.884433,Gen,Dalrymple North BESS,Battery (Discharge),Scheduled,SA
DALNTHL1,452178.20202,353273.69723,303604.65897,416027.065235,317122.560445,282293.884433,Load,Dalrymple North BESS,Battery (Charge),Scheduled,SA
DARTM1,145474.58821,130085.112961159,206924.92925,131320.992723,115931.517474159,185916.339906,Gen,Dartmouth,Hydro,Scheduled,VIC
DAYDSF1,134063.16256,72685.39237,115495.10944,126377.569473,64825.458433,105246.192707,Gen,Daydream Solar Farm,Solar,Semi-scheduled,QLD
DDPS1,100646.31143,61857.5812565916,115495.10944,91898.468118,53109.7379445916,105246.192707,Gen,Darling Downs,Gas,Scheduled,QLD
DDSF1,100646.31143,80105.55265,115495.10944,91898.468118,71357.709338,105246.192707,Gen,Darling Downs Solar Farm,Solar,Semi-scheduled,QLD
DEVILS_G,339356.31153,324547.250525188,293943.94213,305811.516548,291002.455543188,264590.034752,Gen,Devils Gate,Hydro,Scheduled,TAS
DRYCGT1,303604.65897,162722.399608248,303604.65897,282293.884433,141288.781677969,282293.884433,Gen,Dry Creek,Gas,Scheduled,SA
DRYCGT2,303604.65897,162722.399608248,303604.65897,282293.884433,141288.781677969,282293.884433,Gen,Dry Creek,Gas,Scheduled,SA
DRYCGT3,303604.65897,162722.399608248,303604.65897,282293.884433,141288.781677969,282293.884433,Gen,Dry Creek,Gas,Scheduled,SA
EILDON1,179244.55893,165410.179758274,206924.92925,161539.720721,147705.341549274,185916.339906,Gen,Eildon,Hydro,Scheduled,VIC
EILDON2,179244.55893,165410.179758274,206924.92925,161539.720721,147705.341549274,185916.339906,Gen,Eildon,Hydro,Scheduled,VIC
EMERASF1,139126.23592,72704.62148,115495.10944,131439.430186,64843.474896,105246.192707,Gen,Emerald Solar Park,Solar,Semi-scheduled,QLD
ER01,100384.77961,90282.593538859,99692.23835,89432.655225,79330.469153859,88703.045594,Gen,Eraring,Black Coal,Scheduled,NSW
ER02,100384.77961,90282.593538859,99692.23835,89432.655225,79330.469153859,88703.045594,Gen,Eraring,Black Coal,Scheduled,NSW
ER03,99798.34594,90279.0946994043,99692.23835,88846.221555,79326.9703144043,88703.045594,Gen,Eraring,Black Coal,Scheduled,NSW
ER04,99798.34594,90279.0946994043,99692.23835,88846.221555,79326.9703144043,88703.045594,Gen,Eraring,Black Coal,Scheduled,NSW
