duid,station,fuel_type,region,profit_lmp,profit_lmp_mc,profit_rrp,alpha_mc,beta_mc,lat,lon,profit_lmp_percentile,profit_lmp_mc_percentile,alpha_mc_percentile,beta_mc_percentile,commission_2019
CALL_B_1,Callide,Black Coal,QLD,124426.428897,59225.0139479219,105246.192707,55.8474445299212,0.181138570770464,-24.3448799999999,150.619749,32,12,78,12,FALSE
CALL_B_2,Callide,Black Coal,QLD,124426.428897,59225.0139479219,105246.192707,55.8474445299212,0.181138570770464,-24.3448799999999,150.619749,33,12,79,12,FALSE
CETHANA,Cethana,Hydro,TAS,254516.411882,239707.350877188,264590.034752,13.640986138783,0.853019288605069,-41.4802369999999,146.134849,72,94,37,41,FALSE
CG1,Colongra,Gas,NSW,90746.890019,60570.3405602824,88703.045594,40.3538243845012,0.932647471616195,-33.209869,151.544785,12,13,54,50,FALSE
CG2,Colongra,Gas,NSW,90746.890019,60570.3405602824,88703.045594,40.3538243845012,0.932647471616195,-33.209869,151.544785,12,14,55,50,FALSE
CG3,Colongra,Gas,NSW,90746.890019,60570.3405602824,88703.045594,40.3538243845012,0.932647471616195,-33.209869,151.544785,13,14,55,51,FALSE
CG4,Colongra,Gas,NSW,90746.890019,60570.3405602824,88703.045594,40.3538243845012,0.932647471616195,-33.209869,151.544785,13,14,56,51,FALSE
CHILDSF1,Childers Solar Farm,Solar,QLD,102627.32782,68870.76093,105246.192707,55.2536123464867,0.215621768112573,,,23,25,77,19,TRUE
CLARESF1,Clare Solar Farm,Solar,QLD,124247.785021,64930.594741,105246.192707,53.0516249995127,0.183909671404161,,,32,20,70,17,FALSE
CLEMGPWF,Clements Gap Wind Farm,Wind,SA,328728.94498,182248.076935504,282293.884433,3.68009180048007,0.977366008543317,-33.508567709,138.119175192,97,84,22,70,FALSE
CLERMSF1,Clermont Solar Farm,Solar,QLD,120026.410076,69851.576806,105246.192707,49.3630757695887,0.258596789777178,,,31,26,62,20,TRUE
COLEASF1,Coleambally Solar Farm,Solar,NSW,241582.742826,162893.662126,88703.045594,4.41045661923748,0.990410833426461,,,69,67,24,80,FALSE
COOPGWF1,Coopers Gap Wind Farm,Wind,QLD,91872.431929,70966.8464060066,105246.192707,52.128775020043,0.280643974378285,,,14,27,63,23,TRUE
CPP_3,Callide,Black Coal,QLD,124426.428897,59302.4869491706,105246.192707,55.8085010110873,0.181272359697346,-24.3340249999999,150.627973,33,12,78,13,FALSE
CPP_4,Callide,Black Coal,QLD,124426.428897,59302.4869491706,105246.192707,55.8085010110873,0.181272359697346,-24.3340249999999,150.627973,33,13,78,13,FALSE
CPSA,Condamine,Gas,QLD,91891.747789,54048.6787025481,105246.192707,64.3857419234079,0.227309570573092,-26.6682222119999,150.270014465,14,7,90,20,FALSE
CROOKWF2,Crookwell 2 Wind Farm,Wind,NSW,99534.591982,99149.0607134268,88703.045594,2.2638272102324,1.00534982137178,,,21,45,19,99,FALSE
CROWLWF1,Crowlands Wind Farm,Wind,VIC,221649.999049,202249.661421353,185916.339906,26.0645486136159,0.756251206552474,,,69,89,46,31,FALSE
CSPVPS1,Collinsville Solar PV,Solar,QLD,184283.504199,65518.869159,105246.192707,52.7094818155072,0.182810457157028,,,50,22,66,16,FALSE
DALNTH01,Dalrymple North BESS,Battery (Discharge),SA,319420.298305,186299.855465,282293.884433,8.58759040423925,0.97690096002905,,,94,86,27,67,FALSE
DALNTHL1,Dalrymple North BESS,Battery (Charge),SA,318465.298305,186299.855465,282293.884433,8.6339399590862,0.976903482948177,,,94,86,27,68,FALSE
DARTM1,Dartmouth,Hydro,VIC,131320.992723,115931.517474159,185916.339906,62.5223688838452,0.314086090026923,-36.5564289999999,147.52058,44,49,89,25,FALSE
DAYDSF1,Daydream Solar Farm,Solar,QLD,126377.569473,64825.458433,105246.192707,52.9994138022486,0.182256981359269,,,36,19,69,14,FALSE
DDPS1,Darling Downs,Gas,QLD,91898.468118,53109.7379445916,105246.192707,66.0361146676632,0.223237281411784,-27.116891413,150.894217018,17,6,90,19,FALSE
DDSF1,Darling Downs Solar Farm,Solar,QLD,91898.468118,71357.709338,105246.192707,51.9088991130058,0.282603582656222,,,18,27,62,24,FALSE
DEVILS_G,Devils Gate,Hydro,TAS,305811.516548,291002.455543188,264590.034752,18.1369757341032,0.86333839947165,-41.350467,146.263167,90,100,40,43,FALSE
DRYCGT1,Dry Creek,Gas,SA,282293.884433,141288.781677969,282293.884433,67.1533602735117,0.963825004985907,-34.847463,138.581758,78,56,91,55,FALSE
DRYCGT2,Dry Creek,Gas,SA,282293.884433,141288.781677969,282293.884433,67.1533602735117,0.963825004985907,-34.847463,138.581758,78,57,91,56,FALSE
DRYCGT3,Dry Creek,Gas,SA,282293.884433,141288.781677969,282293.884433,67.1533602735117,0.963825004985907,-34.847463,138.581758,79,57,92,56,FALSE
EILDON1,Eildon,Hydro,VIC,161539.720721,147705.341549274,185916.339906,27.8084313782923,0.711523465735844,-37.222005,145.921452,48,60,50,27,FALSE
EILDON2,Eildon,Hydro,VIC,161539.720721,147705.341549274,185916.339906,27.8084313782923,0.711523465735844,-37.222005,145.921452,48,60,51,27,FALSE
EMERASF1,Emerald Solar Park,Solar,QLD,131439.430186,64843.474896,105246.192707,52.8540985682543,0.182887493348368,,,44,19,67,16,FALSE
ER01,Eraring,Black Coal,NSW,89432.655225,79330.469153859,88703.045594,1.9422600387312,0.990816089728856,-33.061748753,151.522330068,9,31,16,80,FALSE
ER02,Eraring,Black Coal,NSW,89432.655225,79330.469153859,88703.045594,1.9422600387312,0.990816089728856,-33.061748753,151.522330068,10,32,16,81,FALSE
ER03,Eraring,Black Coal,NSW,88846.221555,79326.9703144043,88703.045594,1.93949808431448,0.99099847165285,-33.061748753,151.522330068,8,31,15,81,FALSE
ER04,Eraring,Black Coal,NSW,88846.221555,79326.9703144043,88703.045594,1.93949808431448,0.99099847165285,-33.061748753,151.522330068,9,31,16,82,FALSE
FINLYSF1,Finely Solar Farm,Solar,NSW,116342.796338,89153.146158,88703.045594,-3.38459277570096,1.00470155152854,,,30,43,1,98,TRUE
FISHER,Fisher,Hydro,TAS,254516.411882,239707.350877188,264590.034752,13.640986138783,0.853019288605069,-41.67324,146.268518,72,94,38,41,FALSE
GANNBG1,Gannawarra Energy Storage System,Battery (Discharge),VIC,211513.011459,198897.145089,185916.339906,52.8567861839083,0.482833718963464,,,67,87,68,26,FALSE
GANNBL1,Gannawarra Energy Storage System,Battery (Charge),VIC,210747.688471,199499.904551,185916.339906,28.0180156981283,0.745593252742915,,,67,87,51,31,FALSE
GANNSF1,Gannawarra Solar Farm,Solar,VIC,243055.441306,201327.698446,185916.339906,48.7290296117255,0.482709109429851,,,70,88,61,26,FALSE
GORDON,Gordon,Hydro,TAS,296466.196679,278709.044376648,264590.034752,25.2372750319079,0.743031440364404,-42.738642,145.981165,87,99,45,29,FALSE
GSTONE1,Gladstone,Black Coal,QLD,130514.200388,56895.1563140549,105246.192707,57.0970900836462,0.165221936839982,-23.8507529999999,151.218653,43,8,85,4,FALSE
GSTONE2,Gladstone,Black Coal,QLD,130514.200388,56895.1563140549,105246.192707,57.0970900836462,0.165221936839982,-23.8507529999999,151.218653,43,9,85,4,FALSE
GSTONE3,Gladstone,Black Coal,QLD,144977.974321,55067.9108967336,105246.192707,57.0492947547681,0.154942769933015,-23.8507529999999,151.218653,47,7,83,3,FALSE
GSTONE4,Gladstone,Black Coal,QLD,144977.974321,55067.9108967336,105246.192707,57.0492947547681,0.154942769933015,-23.8507529999999,151.218653,47,7,84,3,FALSE
GSTONE5,Gladstone,Black Coal,QLD,130514.200388,56895.1563140549,105246.192707,57.0970900836462,0.165221936839982,-23.8507529999999,151.218653,44,9,85,5,FALSE
GSTONE6,Gladstone,Black Coal,QLD,131538.749998,56895.1563140549,105246.192707,57.0970827605117,0.165144182971782,-23.8507529999999,151.218653,45,10,84,4,FALSE
GULLRSF1,Gullen Solar Farm,Solar,NSW,99534.798982,99313.581782,88703.045594,2.24705279304351,1.0054340191782,,,22,47,18,99,FALSE
GULLRWF1,Gullen Range Wind Farm,Wind,NSW,99555.442982,99167.2264789911,88703.045594,2.2149783320317,1.00531779931757,-34.614456,149.459531,22,46,17,98,FALSE
