duid,alpha,beta,type,station,fuel_type,schedule_type,region
LOYYB1,-0.14265562645137,1.00008419503679,Gen,Loy Yang B,Brown Coal,Scheduled,VIC
LOYYB2,-0.14265562645137,1.00008419503679,Gen,Loy Yang B,Brown Coal,Scheduled,VIC
LYA1,-0.14265562645137,1.00008419503679,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA2,-0.14265562645137,1.00008419503679,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA3,-0.14265562645137,1.00008419503679,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA4,-0.14265562645137,1.00008419503679,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
MACARTH1,-7.59109207131802,0.999305031140459,Gen,Macarthur Wind Farm,Wind,Semi-scheduled,VIC
MCKAY1,44.0939809821707,0.518342373082998,Gen,McKay,Hydro,Scheduled,VIC
MERCER01,6.93413939775119,0.741326526314245,Gen,Mt Mercer Wind Farm,Wind,Semi-scheduled,VIC
MOR1,1.36891763826055e-11,0.999999999999875,Gen,Energy Brix,Brown Coal,Scheduled,VIC
MOR2,1.36891763826055e-11,0.999999999999875,Gen,Energy Brix,Brown Coal,Scheduled,VIC
MOR3,1.36891763826055e-11,0.999999999999875,Gen,Energy Brix,Brown Coal,Scheduled,VIC
MORTLK11,-3.21703783608332,0.997632066152044,Gen,Mortlake,Gas,Scheduled,VIC
MORTLK12,-3.21703783608332,0.997632066152044,Gen,Mortlake,Gas,Scheduled,VIC
MTGELWF1,0.224479338324313,1.00009986404071,Gen,Mt Gellibrand Wind Farm,Wind,Semi-scheduled,VIC
MURRAY,72.158829917826,0.191479833293834,Gen,Murray,Hydro,Scheduled,VIC
MUWAWF1,-15.0352156708222,0.971399116327706,Gen,Murra Warra Wind Farm,Wind,Semi-scheduled,VIC
NPS,0.832468102198714,0.999491929366645,Gen,Newport,Gas,Scheduled,VIC
NUMURSF1,1.57010128067723,0.988467138480145,Gen,Numurkah Solar Farm,Solar,Semi-scheduled,VIC
OAKLAND1,14.047634133112,0.697531426697366,Gen,Oaklands Hill Wind Farm,Wind,Semi-scheduled,VIC
SALTCRK1,24.3361141491533,0.741500384455174,Gen,Salt Creek Wind Farm,Wind,Semi-scheduled,VIC
VPGS,1.36891763826055e-11,0.999999999999875,Gen,Valley Power,Gas,Scheduled,VIC
VPGS1,-0.14265562645137,1.00008419503679,Gen,Valley Power,Gas,Scheduled,VIC
VPGS2,-0.14265562645137,1.00008419503679,Gen,Valley Power,Gas,Scheduled,VIC
VPGS3,-0.14265562645137,1.00008419503679,Gen,Valley Power,Gas,Scheduled,VIC
VPGS4,-0.14265562645137,1.00008419503679,Gen,Valley Power,Gas,Scheduled,VIC
VPGS5,-0.14265562645137,1.00008419503679,Gen,Valley Power,Gas,Scheduled,VIC
VPGS6,-0.14265562645137,1.00008419503679,Gen,Valley Power,Gas,Scheduled,VIC
WEMENSF1,13.7061710682744,0.728685033142955,Gen,Wemen Solar Farm,Solar,Semi-scheduled,VIC
WKIEWA1,67.391955372659,0.236446172869272,Gen,West Kiewa,Hydro,Scheduled,VIC
WKIEWA2,67.391955372659,0.236446172869272,Gen,West Kiewa,Hydro,Scheduled,VIC
YENDWF1,2.61165089219613,0.970911743533505,Gen,Yendon Wind Farm,Wind,Semi-scheduled,VIC
YWPS1,-0.0475929989920569,1.00000390681961,Gen,Yallourn W,Brown Coal,Scheduled,VIC
YWPS2,0.26584094289059,0.999838130698832,Gen,Yallourn W,Brown Coal,Scheduled,VIC
YWPS3,0.26584094289059,0.999838130698832,Gen,Yallourn W,Brown Coal,Scheduled,VIC
YWPS4,0.26584094289059,0.999838130698832,Gen,Yallourn W,Brown Coal,Scheduled,VIC
