duid,alpha_mc,beta_mc,profit_lmp,profit_lmp_mc,profit_rrp,profit_lmp_90,profit_lmp_mc_90,profit_rrp_90,type,station,fuel_type,schedule_type,region,station_name,lat,lon,dispatch_type,classification,alpha_mc_percentile,beta_mc_percentile,profit_lmp_percentile,profit_lmp_mc_percentile,profit_lmp_90_percentile,profit_lmp_mc_90_percentile
GULLRWF1,2.2149783320317,1.00531779931757,111823.67109,111435.454586991,99692.23835,99555.442982,99167.2264789911,88703.045594,Gen,Gullen Range Wind Farm,Wind,Semi-scheduled,NSW,Gullen Range Wind Farm,-34.614456,149.459531,Generator,Semi-Scheduled,22,98,22,44,21,46
GUNNING1,3.32725201338495,0.990197599595168,110858.10664,109289.267681427,99692.23835,98804.736446,97235.8974874268,88703.045594,Gen,Gunning Wind Farm,Wind,Semi-scheduled,NSW,Gunning Wind Farm,-34.6958309,149.383175211,Generator,Semi-Scheduled,26,74,20,43,20,44
GUTHEGA,-4.90836175570989,1.00308059773509,128515.55941,106367.492883357,99692.23835,117263.783484,95115.7169573575,88703.045594,Gen,Guthega,Hydro,Scheduled,NSW,Guthega Power Station,-36.350098,148.413528,Generator,Scheduled,1,97,32,42,31,44
HUMENSW,26.1566283719049,0.987281433807375,243761.67915,239260.997026974,99692.23835,218609.516374,214108.834250974,88703.045594,Gen,Hume Hydro,Hydro,Scheduled,NSW,Hume Power Station,-36.106619,147.032622,Generator,Scheduled,51,70,69,90,69,90
HVGTS,54.797561199359,0.914691179682626,99556.05403,64705.8454710272,99692.23835,88603.929645,53638.8119654591,88703.045594,Gen,Hunter Valley GT,Gas,Scheduled,NSW,Hunter Valley Gas Turbine,-32.3892529999999,150.966396,Generator,Scheduled,79,45,5,7,4,6
LD01,0.297122204118704,0.997311794619105,99556.05403,96725.9581917118,99692.23835,88603.929645,85773.8338067119,88703.045594,Gen,Liddell,Black Coal,Scheduled,NSW,Liddell Power Station,-32.3712669999999,150.97757,Generator,Scheduled,7,83,5,35,5,36
LD02,0.297122204118704,0.997311794619105,99556.05403,96725.9581917118,99692.23835,88603.929645,85773.8338067119,88703.045594,Gen,Liddell,Black Coal,Scheduled,NSW,Liddell Power Station,-32.3712669999999,150.97757,Generator,Scheduled,7,83,5,35,5,36
LD03,0.297122204118704,0.997311794619105,99556.05403,96725.9581917118,99692.23835,88603.929645,85773.8338067119,88703.045594,Gen,Liddell,Black Coal,Scheduled,NSW,Liddell Power Station,-32.3712669999999,150.97757,Generator,Scheduled,8,84,6,36,5,36
LD04,0.297122204118704,0.997311794619105,99556.05403,96725.9581917118,99692.23835,88603.929645,85773.8338067119,88703.045594,Gen,Liddell,Black Coal,Scheduled,NSW,Liddell Power Station,-32.3712669999999,150.97757,Generator,Scheduled,8,84,6,36,6,37
LIMOSF21,0.00646616917090488,0.999950642778413,99731.27594,99505.59283,99692.23835,88742.083184,88516.400074,88703.045594,Gen,Limondale Solar Farm 2,Solar,Semi-scheduled,NSW,,,,,,3,97,9,40,8,42
MANSLR1,0.0306142437450661,0.999151135252827,99367.29611,99152.63289,99692.23835,88410.597578,88195.934358,88703.045594,Gen,Manildra Solar Farm,Solar,Semi-scheduled,NSW,,,,,,4,95,1,39,1,40
MM3,0.688447921799704,0.996891902826435,99692.23835,94185.6899222778,99692.23835,88703.045594,83196.4971662779,88703.045594,Gen,Munmorah,Black Coal,Scheduled,NSW,,,,,,12,82,7,33,6,32
MM4,0.688447921799704,0.996891902826435,99692.23835,94185.6899222778,99692.23835,88703.045594,83196.4971662779,88703.045594,Gen,Munmorah,Black Coal,Scheduled,NSW,,,,,,13,82,7,33,7,33
MOREESF1,-0.0922784528642647,0.99093145411875,106028.83523,100481.92962,99692.23835,94973.61616,89426.71055,88703.045594,Gen,Moree Solar Farm,Solar,Semi-scheduled,NSW,Moree Solar Farm,-29.569,149.867,Generator,Semi-Scheduled,2,76,20,41,20,43
MP1,1.59982035017754,0.992887550491579,99376.89409,90928.0214609523,99692.23835,88419.23576,79970.3631309523,88703.045594,Gen,Mt Piper,Black Coal,Scheduled,NSW,Mt Piper Power Station,-33.358892,150.031322,Generator,Scheduled,19,80,2,30,2,31
MP2,1.59982035017754,0.992887550491579,99376.89409,90928.0214609523,99692.23835,88419.23576,79970.3631309523,88703.045594,Gen,Mt Piper,Black Coal,Scheduled,NSW,Mt Piper Power Station,-33.358892,150.031322,Generator,Scheduled,20,80,2,31,2,31
NEVERSF1,0.00876811865599462,0.999944226162913,99692.23835,99477.57513,99692.23835,88703.045594,88488.382374,88703.045594,Gen,NEVERTIRE SOLAR FARM,Solar,Semi-scheduled,NSW,,,,,,3,96,7,40,7,42
NYNGAN1,0.0321883794426986,0.999110979773256,99365.55611,99150.89289,99692.23835,88409.031578,88194.368358,88703.045594,Gen,Nyngan Solar Plant,Solar,Semi-scheduled,NSW,Nyngan Solar Plant,-31.552740361,147.08535195,Generator,Semi-Scheduled,4,94,1,38,1,40
PARSF1,0.0298083395331244,0.999169047999313,99371.39409,99156.73087,99692.23835,88414.28576,88199.62254,88703.045594,Gen,Parkes Solar Farm,Solar,Semi-scheduled,NSW,,,,,,4,95,2,39,1,41
SAPHWF1,50.5056876639897,0.348670090953963,93999.58564,85594.4367303455,99692.23835,84590.537854,76185.3889443455,88703.045594,Gen,Sapphire Wind Farm,Wind,Semi-scheduled,NSW,,,,,,66,23,1,25,1,26
SHGEN,0.0653181795024663,0.999289997407037,99467.07233,98729.060577021,99692.23835,88502.560661,87764.548908021,88703.045594,Gen,Shoalhaven,Pumped Hydro (Release),Scheduled,NSW,Bendeela / Kangaroo Valley Power Station,-34.73369,150.46687,Generator,Scheduled,5,95,3,38,3,39
SHPUMP,0.0536835658082194,1.00009089913369,99941.45835,99203.446597021,99692.23835,88927.343594,88189.331841021,88703.045594,Load,Shoalhaven,Pumped Hydro (Pumping),Scheduled,NSW,Bendeela / Kangaroo Valley Pumps,-34.73369,150.46687,Load Norm Off,Scheduled,5,97,10,39,9,40
SITHE01,17.9746428669179,0.957118430565036,99692.23835,78441.4601797669,99692.23835,88703.045594,67451.6365737912,88703.045594,Gen,Smithfield Energy Facility,Gas,Scheduled,NSW,Smithfield Energy Facility,-23.50972,150.319466,Generator,Scheduled,45,51,8,24,7,22
SNOWYP,-6.89770547079338,1.04716632299339,122031.65104,109538.218825148,99692.23835,110317.5379,97824.1056851477,88703.045594,Load,Tumut 3,Pumped Hydro (Pumping),Scheduled,NSW,,,,,,1,100,30,43,30,45
STWF1,28.2554381891704,0.966002282169051,373683.36136,258766.861197979,99692.23835,346914.81139,231998.311227979,88703.045594,Gen,Silverton Wind Farm,Wind,Semi-scheduled,NSW,,,,,,56,55,100,92,100,92
TALWA1,8.69729943394135,0.974568885636202,99459.02022,83351.3499807422,99692.23835,88494.772551,72387.1023117422,88703.045594,Gen,Tallawarra,Gas,Scheduled,NSW,Tallawarra Power Station,-34.522778,150.808056,Generator,Scheduled,33,61,3,25,2,25
TARALGA1,2.24961213389212,1.00503220017135,112801.00752,111418.825821427,99692.23835,100532.646412,99150.4647134268,88703.045594,Gen,Taralga Wind Farm,Wind,Semi-scheduled,NSW,Taralga Wind Farm,-34.427076,149.85764,Generator,Semi-Scheduled,23,98,22,44,22,45
TUMUT3,11.2419206913486,0.975160569500279,140058.90196,138045.400531318,99692.23835,125026.462451,123012.961022318,88703.045594,Gen,Tumut 3,Pumped Hydro (Release),Scheduled,NSW,Tumut 3 Power Station,-35.611218,148.291685,Generator,Scheduled,36,61,43,49,34,49
UPPTUMUT,11.4944031697195,1.03426324450021,167671.42369,165947.873251318,99692.23835,149810.913011,148087.362572318,88703.045594,Gen,Upper Tumut,Hydro,Scheduled,NSW,"Tumut 1 Power Station, Tumut 2 Power Station",-35.9517289999999,148.36371,Generator,Scheduled,36,100,47,57,47,59
URANQ11,54.2129831113601,0.945082932892201,223673.66974,192274.128372605,99692.23835,200396.035251,168976.213719736,88703.045594,Gen,Uranquinty,Gas,Scheduled,NSW,Uranquinty Power Station,-35.1793949999999,147.215692,Generator,Scheduled,77,48,67,68,67,66
URANQ12,54.2129831113601,0.945082932892201,222624.67974,192274.128372605,99692.23835,199347.045251,168976.213719736,88703.045594,Gen,Uranquinty,Gas,Scheduled,NSW,Uranquinty Power Station,-35.1793949999999,147.215692,Generator,Scheduled,78,48,67,68,67,67
URANQ13,54.2129831113601,0.945082932892201,224731.66979,192274.128372605,99692.23835,201454.035301,168976.213719736,88703.045594,Gen,Uranquinty,Gas,Scheduled,NSW,Uranquinty Power Station,-35.1793949999999,147.215692,Generator,Scheduled,78,48,68,69,68,67
URANQ14,54.2129831113601,0.945082932892201,223673.66974,192274.128372605,99692.23835,200396.035251,168976.213719736,88703.045594,Gen,Uranquinty,Gas,Scheduled,NSW,Uranquinty Power Station,-35.1793949999999,147.215692,Generator,Scheduled,78,49,68,69,68,67
VP5,1.27833277852858,0.992986774115801,100999.46713,91722.3556097439,99692.23835,90047.342745,80770.2312247439,88703.045594,Gen,Vales Point B,Black Coal,Scheduled,NSW,"Vales Point ""B"" Power Station",-33.160745,151.543146,Generator,Scheduled,19,81,17,31,10,32
VP6,1.27833277852858,0.992986774115801,100999.46713,91722.3556097439,99692.23835,90047.342745,80770.2312247439,88703.045594,Gen,Vales Point B,Black Coal,Scheduled,NSW,"Vales Point ""B"" Power Station",-33.160745,151.543146,Generator,Scheduled,19,81,17,31,11,32
WOODLWN1,2.23232513374891,1.00568717612314,112854.79598,111478.675872391,99692.23835,100583.459872,99207.3397643905,88703.045594,Gen,Woodlawn Wind Farm,Wind,Semi-scheduled,NSW,Woodlawn Wind Farm,-35.086059701,149.571605779,Generator,Semi-Scheduled,22,99,23,45,22,46
WRSF1,-0.14077581162617,0.992104277382411,101213.60533,100528.2719,99692.23835,90179.088225,89493.754795,88703.045594,Gen,White Rock Solar Farm,Solar,Semi-scheduled,NSW,,,,,,2,78,18,42,11,43
WRWF1,-0.113714670554816,0.992026309546755,101213.60533,100314.319417454,99692.23835,90179.088225,89279.8023124541,88703.045594,Gen,White Rock Wind Farm,Wind,Semi-scheduled,NSW,,,,,,2,78,18,41,11,43
WW7,0.599832718020676,0.997264837725125,99692.23835,94715.7478987162,99692.23835,88703.045594,83726.5551427162,88703.045594,Gen,Wallerawang,Black Coal,Scheduled,NSW,,,,,,8,82,8,34,8,33
WW8,0.599832718020676,0.997264837725125,99692.23835,94715.7478987162,99692.23835,88703.045594,83726.5551427162,88703.045594,Gen,Wallerawang,Black Coal,Scheduled,NSW,,,,,,9,83,8,34,8,33
BARCALDN,79.5615138705059,0.122398340100057,141555.72905,48506.8595439175,115495.10944,133879.7845,40634.2887739175,105246.192707,Gen,Barcaldine,Gas,Scheduled,QLD,Barcaldine Power Station,-23.5524519999999,145.314186,Generator,Scheduled,94,2,44,2,45,4
BARRON-1,53.7005186135483,0.180224228199294,136770.02681,71406.1789479822,115495.10944,129084.414723,63544.7660109822,105246.192707,Gen,Barron Gorge,Hydro,Scheduled,QLD,Barron Gorge Power Station,-16.850199,145.646495,Generator,Scheduled,74,10,41,14,41,15
BARRON-2,53.7011321667638,0.180224226602025,135748.5518,71391.9593122789,115495.10944,128062.939713,63530.5463752789,105246.192707,Gen,Barron Gorge,Hydro,Scheduled,QLD,Barron Gorge Power Station,-16.850199,145.646495,Generator,Scheduled,74,9,38,12,38,13
BRAEMAR1,98.0266485721131,0.178505846826741,100642.58662,48855.5506966177,115495.10944,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 1,Gas,Scheduled,QLD,Braemar Power Station,-27.1109339999999,150.905337,Generator,Scheduled,95,7,12,3,15,2
